
2024/06/22 (13:29:23) | ===> btop++ v.1.3.2
2024/06/22 (13:29:23) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/30 (23:56:36) | ===> btop++ v.1.3.2
2024/07/30 (23:56:36) | DEBUG: Running in DEBUG mode!
2024/07/30 (23:56:36) | INFO: Logger set to DEBUG
2024/07/30 (23:56:36) | DEBUG: Using locale en_US.UTF-8
2024/07/30 (23:56:36) | INFO: Running on /dev/pts/1
2024/07/30 (23:56:39) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/30 (23:56:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/30 (23:56:39) | DEBUG: Shared::init() : Initialized.
2024/07/30 (23:56:39) | DEBUG: Loading theme file: /home/sreer/.config/btop/themes/rose-pine.theme
2024/07/30 (23:56:44) | INFO: Quitting! Runtime: 00:00:08

2024/07/30 (23:56:45) | ===> btop++ v.1.3.2
2024/07/30 (23:56:45) | DEBUG: Running in DEBUG mode!
2024/07/30 (23:56:45) | INFO: Logger set to DEBUG
2024/07/30 (23:56:45) | DEBUG: Using locale en_US.UTF-8
2024/07/30 (23:56:45) | INFO: Running on /dev/pts/1
2024/07/30 (23:56:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/30 (23:56:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/30 (23:56:45) | DEBUG: Shared::init() : Initialized.
2024/07/30 (23:56:45) | DEBUG: Loading theme file: /home/sreer/.config/btop/themes/rose-pine.theme
2024/07/30 (23:56:48) | INFO: Quitting! Runtime: 00:00:03

2024/07/30 (23:56:48) | ===> btop++ v.1.3.2
2024/07/30 (23:56:48) | DEBUG: Running in DEBUG mode!
2024/07/30 (23:56:48) | INFO: Logger set to DEBUG
2024/07/30 (23:56:48) | DEBUG: Using locale en_US.UTF-8
2024/07/30 (23:56:48) | INFO: Running on /dev/pts/1
2024/07/30 (23:56:48) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/30 (23:56:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/30 (23:56:48) | DEBUG: Shared::init() : Initialized.
2024/07/30 (23:56:48) | DEBUG: Loading theme file: /home/sreer/.config/btop/themes/rose-pine.theme
2024/07/30 (23:56:52) | DEBUG: Writing new config file
2024/07/30 (23:56:52) | INFO: Quitting! Runtime: 00:00:04

2024/11/24 (21:23:17) | ===> btop++ v.1.4.0
2024/11/24 (21:23:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/24 (21:23:17) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/24 (21:23:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/24 (21:23:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/24 (21:23:17) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/24 (21:23:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/18 (18:30:06) | ===> btop++ v.1.4.0
2024/12/18 (18:30:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/18 (18:30:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/18 (18:30:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/18 (18:30:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/18 (18:30:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/18 (18:30:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
